"domain_key","status","disposition","retention_days","trigger","record_series","accountable_owner","official_copy_role","privacy_classification","decision_basis","condition","dependency","review_due_at","automatic_execution_enabled"
"courseMemberships","approved","retain","1827","End of the academic year in which membership is posted to the academic record","ASU 6.3/66 class rolls","Registrar + LMS Owner","governed_convenience_copy","ferpa_education_record","accept_amended_guardrail","Use 1827 days after the institution-defined academic-year end and reconcile the official class roll before disposition.","Confirm the end-of-academic-year trigger used by ASU.","2026-10-30T23:59:59.000Z","false"
"courseProgress","approved","retain","1827","Graduation or date of last attendance","ASU 6.6/311 academic progress","Registrar + Records","governed_convenience_copy","ferpa_education_record","accept_amended_guardrail","Use 1827 days after graduation or last attendance and exclude permanent transcript outcomes from this convenience copy.","Confirm course progress is an academic-progress record and not the permanent transcript.","2026-10-30T23:59:59.000Z","false"
"educatorVerificationRequests","approved","retain","731","Final approval, denial, withdrawal, or expiration","ASU 5.4/012 security access","Institution Technology + Security","processor_copy","security_authentication","accept_amended_guardrail","Use 731 days after final disposition, minimize identity evidence after verification, and preserve complaint or fraud-investigation holds.","Confirm verification evidence minimization and complaint escalation path.","2026-10-30T23:59:59.000Z","false"
"fileDeletionRequests","approved","retain","3653","Final disposition or transfer of the requested record","ASU 1.2/010 disposition logs","Records Officer","institution_record_copy","records_governance","accept_amended_guardrail","Use 3653 days after final disposition or archival transfer and include the required record series, authorization, method, date, and outcome.","Confirm this domain is the EdNotebook disposition log and includes required ASU fields.","2026-10-30T23:59:59.000Z","false"
"filePreviews","approved","delete","7","Source deletion, preview expiry, or source replacement","Transitory derivative","Security + Storage Owner","transitory_derivative","inherited_from_source","accept_candidate","Delete within seven days of source deletion, expiry, or replacement; a preview inherits every source hold and access restriction until deletion.","Verify preview workers and cache invalidation complete within the seven-day outer bound.","2026-10-30T23:59:59.000Z","false"
"gradeShareLinks","approved","delete","731","Share revoked, expired, or underlying grade record access terminated","ASU 5.4/012 security access","Registrar + Security","processor_copy","ferpa_education_record","accept_amended_guardrail","Use 731 days after revocation or expiry while keeping the FERPA disclosure record for as long as the underlying education record exists.","Confirm FERPA disclosure logging is captured separately for the life of the underlying record.","2026-10-30T23:59:59.000Z","false"
"identityOnboardingRequests","approved","retain","731","Final approval, denial, withdrawal, or expiration","ASU 5.4/012 security access","Institution Technology + Security","processor_copy","security_authentication","accept_amended_guardrail","Use 731 days after final disposition and route approved identities into the separate status-aware account lifecycle.","Confirm linkage to account-status-specific deletion rules.","2026-10-30T23:59:59.000Z","false"
"institutionAccessApplications","approved","retain","731","Final approval, denial, withdrawal, or expiration","ASU 5.4/012 security access","Institution Technology + Security","processor_copy","security_authentication","accept_amended_guardrail","Use 731 days after final disposition and redact verification evidence that is no longer required.","Confirm evidence redaction after verification.","2026-10-30T23:59:59.000Z","false"
"institutionAffiliations","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.6 departmental student files","Registrar + Records","mixed_unresolved","mixed_unresolved","hold","Split student, employee, contractor, guest, and publisher affiliations and assign each record series and termination trigger independently.","Confirm role-specific trigger and exclude employee-only records from the student matrix.","2026-10-30T23:59:59.000Z","false"
"institutionMemberships","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.6 departmental student files","Registrar + Institution Technology","mixed_unresolved","mixed_unresolved","hold","Split student academic membership from employee, contractor, and community membership before disposition.","Confirm student versus employee/member record classification.","2026-10-30T23:59:59.000Z","false"
"institutionTransferRequests","approved","retain","1827","Final transfer disposition or graduation/date of last attendance, whichever is later","ASU 6.6/315 add-drop and status records","Registrar + Records","governed_convenience_copy","ferpa_education_record","accept_amended_guardrail","Use 1827 days after final transfer disposition or graduation or last attendance, whichever occurs later.","Confirm mapping to add/drop or change-of-status series.","2026-10-30T23:59:59.000Z","false"
"learningMessages","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Mixed course work / correspondence / grievance","Privacy/Records + Registrar","mixed_unresolved","mixed_unresolved","hold","Classify routine course, assessed, accommodation, grievance, research, safety, and legal messages when created.","Classify messages at creation and provide escalation to grievance, appeal, accommodation, research, and legal-hold series.","2026-10-30T23:59:59.000Z","false"
"learningResources","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Mixed course records / student work / publications","Records + Library/Publishing","mixed_unresolved","mixed_unresolved","hold","Require resource type, owner, student/professor authorship, license, publication state, official-copy role, and archival-review metadata.","Add resource type, owner, license, official-copy flag, and archival review metadata.","2026-10-30T23:59:59.000Z","false"
"learningSystemIdentifiers","approved","delete","731","Identifier superseded or integration/account access terminated","ASU 5.4/012 security access","Institution Technology + Security","processor_copy","security_authentication","accept_amended_guardrail","Use 731 days after supersession or termination and require verified deprovisioning in every connected system.","Confirm every upstream/downstream system participates in deprovisioning.","2026-10-30T23:59:59.000Z","false"
"legalHoldFiles","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU schedule litigation caution / 1.1/048","Legal Counsel + Records","institution_record_copy","mixed_unresolved","hold","Require underlying record classification, written counsel release, access controls, and records-authorized post-release disposition.","Require written release, underlying-domain linkage, and disposition authorization.","2026-10-30T23:59:59.000Z","false"
"linkPreviews","approved","delete","7","Source link removal, preview expiry, or last governed reference","Transitory derivative","Privacy + Security","transitory_derivative","inherited_from_source","accept_candidate","Delete within seven days, prohibit private or sensitive-source snapshots, and inherit the source hold until the preview is removed.","Verify crawler/cache deletion and prohibit sensitive-source snapshots.","2026-10-30T23:59:59.000Z","false"
"ltiContextMemberships","approved","retain","1827","End of the academic year in which membership is posted to the academic record","ASU 6.3/66 class rolls","Registrar + LMS Owner","processor_copy","ferpa_education_record","accept_amended_guardrail","Use 1827 days after academic-year end and reconcile context membership with the institution's official class roll.","Confirm context-to-course mapping and institutional record-copy designation.","2026-10-30T23:59:59.000Z","false"
"ltiGradeSyncEvents","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.6/347 grade books","Registrar + LMS Owner","mixed_unresolved","ferpa_education_record","hold","Designate the original grade sheet, distinguish reconciliation telemetry from grade-book evidence, and preserve unresolved grade disputes.","Confirm whether any event is the original grade sheet, which would require permanent retention.","2026-10-30T23:59:59.000Z","false"
"ltiLaunchSessions","approved","delete","30","Launch session expiry, revocation, or nonce replay window closure","Transitory security session","Security + LMS Owner","transitory_derivative","security_authentication","accept_candidate","Delete within 30 days of expiry or revocation and retain only separately classified incident evidence.","Verify launch-state cleanup, nonce TTL, and log sanitization.","2026-10-30T23:59:59.000Z","false"
"ltiProviderCopies","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Provider/institution copy","LMS Owner + Privacy/Records","provider_external_copy","mixed_unresolved","hold","Inventory every LTI provider's DPA, purpose, data elements, retention, export, deletion, and residual-copy behavior.","Inventory each LTI tool, DPA, retention rule, export path, and deletion confirmation.","2026-10-30T23:59:59.000Z","false"
"ltiUserMappings","approved","delete","731","Mapping superseded or LTI/account access terminated","ASU 5.4/012 security access","LMS Owner + Security","processor_copy","security_authentication","accept_amended_guardrail","Use 731 days after supersession or access termination and verify deletion in both upstream and downstream mappings.","Confirm upstream and downstream mapping deletion procedures.","2026-10-30T23:59:59.000Z","false"
"processingJobs","approved","delete","30","Terminal job completion, cancellation, or permanent failure","Transitory operational record","Institution Technology + Security","transitory_derivative","operational_system","accept_candidate","Delete within 30 days after terminal status and ensure queues, retries, dead letters, and worker logs contain no unclassified payload copies.","Verify dead-letter, retry, and worker logs obey the same boundary.","2026-10-30T23:59:59.000Z","false"
"profile","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU account schedule / student record series","Registrar + Institution Technology + Privacy","mixed_unresolved","mixed_unresolved","hold","Separate identity, directory, academic-reference, public-profile, and commercial fields and design status-aware pseudonymization.","Design status-aware deprovisioning and field-level anonymization; validate every foreign-key effect.","2026-10-30T23:59:59.000Z","false"
"providerBackups","approved","retain","7","Provider backup creation; expiry is rolling","Supabase Pro daily backups","Institution Technology + Records","provider_external_copy","inherited_from_source","accept_candidate","Apply a seven-day rolling database-backup minimum for the verified staging plan, document Storage separately, and reverify provider configuration quarterly.","Verify project plan/configuration quarterly and document that Storage backups are separate.","2026-10-30T23:59:59.000Z","false"
"publicationEntitlements","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU financial records FE+3","Finance/Tax + Library/Publishing","mixed_unresolved","mixed_unresolved","hold","Split free academic access, purchase, rental, refund, chargeback, and continuing-access entitlements before assigning financial retention.","Confirm fiscal-year trigger and separation of free academic versus commercial entitlements.","2026-10-30T23:59:59.000Z","false"
"readingAnnotations","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.6/375 student course work","Records/Registrar + Privacy","mixed_unresolved","ferpa_education_record","hold","Split private notes, professor-visible assessed annotations, accessibility notes, and research measures and provide an export path.","Confirm annotation export notice and whether professor-visible annotations become assessed coursework.","2026-10-30T23:59:59.000Z","false"
"secureFiles","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Content-defined","Records + Security + Storage Owner","mixed_unresolved","inherited_from_source","hold","Reject unclassified production uploads and require every object to inherit an owner, record series, trigger, hold, and archival rule.","Add mandatory record-class metadata and deny unclassified production uploads.","2026-10-30T23:59:59.000Z","false"
"storageDeliveryCaches","approved","delete","1","Origin object deletion or replacement","Supabase Smart CDN derivative","Security + Storage Owner","transitory_derivative","inherited_from_source","accept_candidate","Purge within one day of origin deletion or replacement and verify private caching, signed-URL expiry, and CDN invalidation.","Verify private-object cache headers, signed-URL behavior, and deletion evidence.","2026-10-30T23:59:59.000Z","false"
"storageObjectVersions","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Content-defined storage version","Storage Owner + Records","mixed_unresolved","inherited_from_source","hold","Bind each version to the source series, trigger, owner, legal hold, archival status, and verified byte-deletion outcome.","Bind every version to source record class, trigger, legal hold, and verified byte deletion.","2026-10-30T23:59:59.000Z","false"
"stripeWebhookPayloads","approved","delete","30","Successful signature verification, idempotent processing, and reconciliation","Stripe event operational copy","Finance/Payments + Security","processor_copy","financial_transaction","accept_candidate","Delete the payload within 30 days after signature verification and reconciliation, while retaining normalized accounting, tax, refund, and dispute evidence separately.","Confirm no tax, dispute, or accounting evidence exists only inside the webhook payload.","2026-10-30T23:59:59.000Z","false"
"studentDataSubjectRequestItems","approved","retain","3653","Final disposition of the parent subject request","ASU 1.2/010 disposition logs","Privacy/Records","institution_record_copy","records_governance","accept_amended_guardrail","Use 3653 days after final parent-request disposition and preserve linked correction statements and disclosure records for the life of the underlying record.","Confirm the item log contains required ASU disposition fields and links contested-record statements for the life of the record.","2026-10-30T23:59:59.000Z","false"
"studentDataSubjectRequests","approved","retain","3653","Final disposition of the request","ASU 1.2/010 disposition logs","Privacy/Records","institution_record_copy","records_governance","accept_amended_guardrail","Use 3653 days after final disposition and preserve identity verification, response timing, authorization, exceptions, and final outcome.","Confirm workflow timing, identity verification, and disposition-log fields.","2026-10-30T23:59:59.000Z","false"
"studentEducationPath","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.6/311 academic progress","Registrar + Records","mixed_unresolved","ferpa_education_record","hold","Split temporary planning, five-year advisement/progress, and permanent degree-plan or transcript-equivalent outcomes.","Confirm which fields are advising records versus permanent academic records.","2026-10-30T23:59:59.000Z","false"
"studentEnrollmentRequests","approved","retain","1827","Final enrollment decision or graduation/date of last attendance, whichever is later","ASU 6.6/315 add/drop records","Registrar + LMS Owner","governed_convenience_copy","ferpa_education_record","accept_amended_guardrail","Use 1827 days after final decision or graduation or last attendance, whichever is later, and document the longer treatment of never-enrolled requests.","Confirm trigger and handling of never-enrolled applicants.","2026-10-30T23:59:59.000Z","false"
"studentGrades","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.6/347 versus 6.6/350","Registrar + Records","mixed_unresolved","ferpa_education_record","hold","Obtain the Registrar's written designation of EdNotebook as permanent original grade sheet, four-year grade book, or governed convenience copy.","Obtain written record-copy designation and grade-export/round-trip evidence.","2026-10-30T23:59:59.000Z","false"
"studentGroupMemberships","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU class roll / academic progress","Registrar + Records","mixed_unresolved","ferpa_education_record","hold","Split assessed academic groups, ordinary course groups, optional social groups, and official student-organization memberships.","Classify academic versus optional social group memberships.","2026-10-30T23:59:59.000Z","false"
"studentGroups","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.3/67 course records","Registrar + Records","mixed_unresolved","ferpa_education_record","hold","Split disposable course structures from official student-organization and historically significant group records.","Confirm groups are course structures and not official student-organization archives.","2026-10-30T23:59:59.000Z","false"
"studentLearningRecords","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Mixed permanent academic / progress / coursework","Registrar + Records","mixed_unresolved","ferpa_education_record","hold","Separate permanent achievement, five-year academic progress, four-year grade-book evidence, one-year coursework, and IRB-governed research measures.","Split permanent outcomes, five-year progress, one-year coursework, and de-identified research measures.","2026-10-30T23:59:59.000Z","false"
"studentPosts","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.6/375 student course work","Records/Registrar + Privacy","mixed_unresolved","ferpa_education_record","hold","Split public/social posts, assessed course discussions, moderation evidence, grievances, and research-routed posts.","Confirm platform social posts can be distinguished from assessed course discussions.","2026-10-30T23:59:59.000Z","false"
"studentPublicProfile","blocked","block","","No automatic trigger while the documented decision remains unresolved.","FERPA directory / ASU account schedule","Privacy + Registrar + Institution Technology","mixed_unresolved","directory_opt_out","hold","Implement institution-defined directory fields, annual notice, opt-out enforcement, audience controls, and status-aware removal.","Implement directory opt-out, status-aware deletion, and field-level anonymization.","2026-10-30T23:59:59.000Z","false"
"studentRosterEntries","approved","retain","1827","End of academic year in which roster data is posted to transcripts","ASU 6.3/66 class rolls","Registrar + LMS Owner","governed_convenience_copy","ferpa_education_record","accept_amended_guardrail","Use 1827 days after academic-year end and reconcile with the institution-designated class roll before disposition.","Confirm EdNotebook roster is record copy or governed convenience copy.","2026-10-30T23:59:59.000Z","false"
"unlinkedPortalInterestSubmissions","approved","delete","30","Final response, withdrawal, or thirty days of abandonment","Transitory inquiry","Privacy + Platform Operations","processor_copy","personal_information_non_education","accept_candidate","Delete within 30 days after response, withdrawal, or abandonment and maintain a minimal suppression mechanism only when lawfully required.","Confirm consent language and suppression-list design.","2026-10-30T23:59:59.000Z","false"
"uploadQuotaReservations","approved","delete","1","Reservation expiry, consumption, or cancellation","Transitory operational record","Storage Owner + Security","transitory_derivative","operational_system","accept_candidate","Delete within one day after expiry, consumption, or cancellation and reconcile abandoned multipart uploads without retaining file contents.","Verify scheduled cleanup and abandoned multipart-upload handling.","2026-10-30T23:59:59.000Z","false"
"userAuthoredProfessorPublisherContent","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Mixed publication / course record / intellectual property","Library/Publishing + Legal + Records","mixed_unresolved","intellectual_property_commercial","hold","Approve author rights, license, withdrawal, edition/version, archive, purchased-access survival, and embedded learner-data rules.","Approve author agreement, rights/version policy, archival rule, and purchased-access survival.","2026-10-30T23:59:59.000Z","false"
"userEntitlements","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Mixed class membership / financial entitlement","Registrar + Finance + Library/Publishing","mixed_unresolved","mixed_unresolved","hold","Split academic membership, universal free course, public-free, purchase, rental, refund, and continuing or perpetual access.","Split academic, free-public, purchase, rental, refund, and perpetual entitlement types.","2026-10-30T23:59:59.000Z","false"
"userFeaturePolicies","approved","retain","731","Policy superseded or account/institution access terminated","ASU 5.4/012 security access","Security + Institution Technology","processor_copy","security_authentication","accept_amended_guardrail","Use 731 days after supersession or access termination and retain the linked access-decision audit record under its separately approved series.","Confirm version history and linkage to access-decision audit events.","2026-10-30T23:59:59.000Z","false"
