domain_key,system_owner,record_scope,contains_education_record,recommended_status,disposition,retention_days,retention_trigger,record_series,purpose,evidence_reference,review_notes,accountable_owner,unresolved_dependency
learningResources,ednotebook,linked_record,true,blocked_pending_review,block,,"No automatic trigger until ownership and record-copy status are captured",Mixed course records / student work / publications,"Protect course materials, licensed resources, and student-created content from an unsafe one-size-fits-all disposal rule.","ASU-RRS-6.3-67; ASU-RRS-6.6-375; ASU-RRP","Instructor course materials may be course records, student uploads may be coursework, and published resources may carry IP or archival duties.",Records + Library/Publishing,"Add resource type, owner, license, official-copy flag, and archival review metadata."
learningSystemIdentifiers,ednotebook,linked_record,true,candidate_ready,delete,730,"Identifier superseded or integration/account access terminated",ASU 5.4/012 security access,"Retain cross-system identifier evidence for reconciliation, then remove obsolete identifiers.","ASU-RRS-5.4-012; FERPA-DATA-DESTRUCTION","Do not delete while active mappings, grade synchronization, disputes, or incident investigations depend on the identifier.",Institution Technology + Security,"Confirm every upstream/downstream system participates in deprovisioning."
legalHoldFiles,ednotebook,linked_record,true,blocked_pending_review,block,,"Written legal-hold release and subsequent records-authorized disposition",ASU schedule litigation caution / 1.1/048,"Make legal-hold content ineligible for automated deletion until counsel releases the hold.","ASU-RRS-LITIGATION-CAUTION; FERPA-99.10(e)","After release, the file returns to its underlying record-series policy; the hold itself is not a new permanent retention period.",Legal Counsel + Records,"Require written release, underlying-domain linkage, and disposition authorization."
linkPreviews,ednotebook,linked_record,true,candidate_ready,delete,7,"Source link removal, preview expiry, or last governed reference",Transitory derivative,"Remove cached link metadata and images that are no longer needed for the active learning record.","ASU-RRS-1.1-057; FERPA-DATA-DESTRUCTION","Do not copy private page content beyond what is needed for the preview; source deletion and access revocation must invalidate derivatives.",Privacy + Security,"Verify crawler/cache deletion and prohibit sensitive-source snapshots."
ltiContextMemberships,ednotebook,linked_record,true,candidate_ready,retain,1825,"End of the academic year in which membership is posted to the academic record",ASU 6.3/66 class rolls,"Preserve LTI context membership evidence for roster and grade reconciliation.","ASU-RRS-6.3-66; 1EDTECH-SECURITY","Only minimum LTI claims should be retained; provider copies remain under the platform's separate policy.",Registrar + LMS Owner,"Confirm context-to-course mapping and institutional record-copy designation."
ltiGradeSyncEvents,ednotebook,linked_record,true,candidate_ready,retain,1460,"End of semester after successful reconciliation and resolution of grade disputes",ASU 6.6/347 grade books,"Maintain grade synchronization evidence sufficient to reconstruct and audit grade transmission.","ASU-RRS-6.6-347; FERPA-99.32; 1EDTECH-SECURITY","Sanitize payloads; retain identifiers, status, timestamps, hashes, and failure reason rather than duplicate response bodies.",Registrar + LMS Owner,"Confirm whether any event is the original grade sheet, which would require permanent retention."
ltiLaunchSessions,ednotebook,linked_record,true,candidate_ready,delete,30,"Launch session expiry, revocation, or nonce replay window closure",Transitory security session,"Remove expired LTI launch state promptly while preserving only sanitized incident metadata.","ASU-RRS-1.1-057; 1EDTECH-SECURITY","Never retain reusable launch tokens or full identity claims beyond operational need; security incidents route to audit evidence.",Security + LMS Owner,"Verify launch-state cleanup, nonce TTL, and log sanitization."
ltiProviderCopies,lti_platform,external_copy,true,blocked_pending_review,block,,"Platform-owned deletion/archive event with verified result",Provider/institution copy,"Prevent EdNotebook from asserting deletion of education records held by an external LTI platform or tool.","1EDTECH-SECURITY; FERPA-THIRD-PARTY","Contract, platform configuration, and tool-specific deletion behavior govern the external copy; EdNotebook records requests and outcomes.",LMS Owner + Privacy/Records,"Inventory each LTI tool, DPA, retention rule, export path, and deletion confirmation."
ltiUserMappings,ednotebook,linked_record,true,candidate_ready,delete,730,"Mapping superseded or LTI/account access terminated",ASU 5.4/012 security access,"Retain mapping evidence for access reconciliation and then remove obsolete cross-system identifiers.","ASU-RRS-5.4-012; 1EDTECH-SECURITY","Do not delete while active courses, grade sync, disputes, or security investigations depend on the mapping.",LMS Owner + Security,"Confirm upstream and downstream mapping deletion procedures."
processingJobs,ednotebook,linked_record,true,candidate_ready,delete,30,"Terminal job completion, cancellation, or permanent failure",Transitory operational record,"Retain sanitized job status briefly for retry and incident analysis, then remove payload-bearing operational copies.","ASU-RRS-1.1-057; FERPA-DATA-DESTRUCTION","Prompt, file, and provider response bodies must not be persisted in job records; incidents route to the audit/security series.",Institution Technology + Security,"Verify dead-letter, retry, and worker logs obey the same boundary."
profile,ednotebook,linked_record,true,blocked_pending_review,block,,"No automatic trigger until student-status-specific and record-copy rules exist",ASU account schedule / student record series,"Avoid both premature deletion of student identity context and indefinite retention after the institution's account window.","ASU-ACCOUNT-RETENTION; ASU-RRS-6.6-510","Profile rows participate in mixed foreign-key behavior and different student-status windows. Anonymization must preserve required academic references without retaining unnecessary PII.",Registrar + Institution Technology + Privacy,"Design status-aware deprovisioning and field-level anonymization; validate every foreign-key effect."
providerBackups,supabase,provider,true,candidate_ready,retain,7,"Provider backup creation; expiry is rolling",Supabase Pro daily backups,"Document the unavoidable rolling backup residual after primary deletion and keep it within the contracted provider window.","SUPABASE-BACKUPS; SUPABASE-DPA","Supabase Pro exposes seven days of daily backups; database backups exclude Storage bytes. Holds requiring longer preservation need an authorized separate record copy.",Institution Technology + Records,"Verify project plan/configuration quarterly and document that Storage backups are separate."
publicationEntitlements,ednotebook,linked_record,true,candidate_ready,retain,1095,"Close of the fiscal year containing entitlement expiry, refund, or final transaction",ASU financial records FE+3,"Preserve purchase, rental, refund, and access-right evidence needed for customer service and financial reconciliation.","ASU-RRS-4.1-4.4; STRIPE-DPA","Free academic entitlements that become official course participation records must also link to the course-membership lifecycle.",Finance/Tax + Library/Publishing,"Confirm fiscal-year trigger and separation of free academic versus commercial entitlements."
readingAnnotations,ednotebook,linked_record,true,candidate_ready,delete,365,"Later of academic-term end, user export window, dispute resolution, or legal-hold release",ASU 6.6/375 student course work,"Preserve student annotations for learning and export while limiting retention of identifiable student-authored notes.","ASU-RRS-6.6-375; FERPA-99.10(e)","User-initiated deletion may occur earlier when no submission, grading, research, dispute, or hold dependency exists.",Records/Registrar + Privacy,"Confirm annotation export notice and whether professor-visible annotations become assessed coursework."
secureFiles,ednotebook,linked_record,true,blocked_pending_review,block,,"No automatic trigger until every file has a governed record class",Content-defined,"Prevent deletion or over-retention of files whose obligations depend on whether they are coursework, grades, research, accessibility, financial, publication, or legal records.","ASU-RRP; FERPA-THIRD-PARTY","Bucket location is not a record series. Each file needs owner, institution, record class, trigger date, official-copy flag, hold state, and disposition result.",Records + Security + Storage Owner,"Add mandatory record-class metadata and deny unclassified production uploads."
storageDeliveryCaches,supabase_storage,storage,true,candidate_ready,delete,1,"Origin object deletion or replacement",Supabase Smart CDN derivative,"Ensure access revocation and source deletion propagate to delivery caches within a conservative outer bound.","SUPABASE-SMART-CDN; SUPABASE-STORAGE-DELETE","Supabase reports CDN invalidation can take up to 60 seconds; browser cache TTL is separate, so private objects require short cache control and origin deletion.",Security + Storage Owner,"Verify private-object cache headers, signed-URL behavior, and deletion evidence."
storageObjectVersions,supabase_storage,storage,true,blocked_pending_review,block,,"No automatic trigger until version inherits the source record class",Content-defined storage version,"Prevent old object versions from outliving the governed source record or being deleted while the source is under hold.","SUPABASE-STORAGE-DELETE; ASU-RRP","Supabase database backups do not restore Storage bytes. Version and backup design must be explicit, and deletion must use the Storage API.",Storage Owner + Records,"Bind every version to source record class, trigger, legal hold, and verified byte deletion."
stripeWebhookPayloads,stripe,external_copy,false,candidate_ready,delete,30,"Successful signature verification, idempotent processing, and reconciliation",Stripe event operational copy,"Keep webhook data only for the provider's full-event troubleshooting window and avoid a duplicate long-lived payment-data store.","STRIPE-EVENT-RETENTION; STRIPE-DPA","Store event ID, type, account, status, timestamps, and sanitized error metadata where possible; redact full payloads earlier after reconciliation.",Finance/Payments + Security,"Confirm no tax, dispute, or accounting evidence exists only inside the webhook payload."
studentDataSubjectRequestItems,ednotebook,linked_record,true,candidate_ready,retain,3650,"Final disposition of the parent subject request",ASU 1.2/010 disposition logs,"Maintain an auditable item-by-item record of access, correction, export, deletion, block, and residual-copy outcomes.","ASU-RRS-1.2-010; FERPA-99.10; FERPA-99.21","Retain decision metadata and evidence, not unnecessary copies of the student's underlying records.",Privacy/Records,"Confirm the item log contains required ASU disposition fields and links contested-record statements for the life of the record."
studentDataSubjectRequests,ednotebook,linked_record,true,candidate_ready,retain,3650,"Final disposition of the request",ASU 1.2/010 disposition logs,"Preserve accountable evidence that student access, correction, export, and deletion requests were received and resolved.","ASU-RRS-1.2-010; FERPA-99.10; FERPA-99.21","Outstanding access requests prohibit destruction of requested education records; appeals or litigation extend retention.",Privacy/Records,"Confirm workflow timing, identity verification, and disposition-log fields."
studentEducationPath,ednotebook,linked_record,true,candidate_ready,retain,1825,"Graduation or date of last attendance",ASU 6.6/311 academic progress,"Retain the governed academic pathway used for advising and progress interpretation.","ASU-RRS-6.6-311; FERPA-99.10","Permanent transcript outcomes should be stored in the institution's official academic record, not inferred from this operational path.",Registrar + Records,"Confirm which fields are advising records versus permanent academic records."
studentEnrollmentRequests,ednotebook,linked_record,true,candidate_ready,retain,1825,"Final enrollment decision or graduation/date of last attendance, whichever is later",ASU 6.6/315 add/drop records,"Preserve approval, denial, and enrollment-change evidence needed to reconstruct course access.","ASU-RRS-6.6-315; FERPA-99.10","Abandoned requests may qualify for a shorter series only after Records approves and the system distinguishes them.",Registrar + LMS Owner,"Confirm trigger and handling of never-enrolled applicants."
studentGrades,ednotebook,linked_record,true,blocked_pending_review,block,,"No automatic trigger until EdNotebook's grade record role is designated",ASU 6.6/347 versus 6.6/350,"Prevent destruction of permanent original grade sheets or indefinite duplication of course grade books.","ASU-RRS-6.6-347; ASU-RRS-6.6-350; FERPA-99.10(e)","ASU retains grade books four years after semester end but original grade sheets permanently. The institution must state which role EdNotebook serves.",Registrar + Records,"Obtain written record-copy designation and grade-export/round-trip evidence."
studentGroupMemberships,ednotebook,linked_record,true,candidate_ready,retain,1825,"End of academic year or graduation/date of last attendance, whichever the mapped course series requires",ASU class roll / academic progress,"Preserve assessed group membership needed to interpret submissions, peer work, and grading.","ASU-RRS-6.3-66; ASU-RRS-6.6-311","Non-assessed social groups may qualify for a shorter course-record period once the system distinguishes them.",Registrar + Records,"Classify academic versus optional social group memberships."
studentGroups,ednotebook,linked_record,true,candidate_ready,delete,730,"End of semester in which the group was used",ASU 6.3/67 course records,"Retain course group structure long enough to interpret course content and then remove obsolete operational grouping.","ASU-RRS-6.3-67; FERPA-DATA-DESTRUCTION","Group membership evidence follows its separate five-year proposal; public or archived organizations require separate classification.",Registrar + Records,"Confirm groups are course structures and not official student-organization archives."
studentLearningRecords,ednotebook,linked_record,true,blocked_pending_review,block,,"No automatic trigger until learning-record subtypes are separated",Mixed permanent academic / progress / coursework,"Prevent one aggregate domain from deleting permanent achievement records or over-retaining transient learning evidence.","ASU-RRS-6.6-310; ASU-RRS-6.6-311; ASU-RRS-6.6-375","Credentials, final academic status, progress telemetry, attempts, and activities require different dispositions and triggers.",Registrar + Records,"Split permanent outcomes, five-year progress, one-year coursework, and de-identified research measures."
studentPosts,ednotebook,linked_record,true,candidate_ready,delete,365,"Later of academic-term end, moderation/grievance closure, or legal-hold release",ASU 6.6/375 student course work,"Retain assessed discussion content through the course-work and dispute window, then minimize identifiable student posts.","ASU-RRS-6.6-375; FERPA-99.10(e)","Publications, student-organization archives, research data, and misconduct/grievance records must be reclassified before deletion.",Records/Registrar + Privacy,"Confirm platform social posts can be distinguished from assessed course discussions."
studentPublicProfile,ednotebook,linked_record,true,blocked_pending_review,block,,"No automatic trigger until directory-information and account-status rules are represented",FERPA directory / ASU account schedule,"Prevent disclosure or over-retention of student profile data when directory opt-out and account lifecycle differ by user status.","FERPA-DIRECTORY; ASU-ACCOUNT-RETENTION","Public visibility is not proof that data is non-sensitive. Annual directory notice/opt-out and institution-specific fields control disclosure.",Privacy + Registrar + Institution Technology,"Implement directory opt-out, status-aware deletion, and field-level anonymization."
studentRosterEntries,ednotebook,linked_record,true,candidate_ready,retain,1825,"End of academic year in which roster data is posted to transcripts",ASU 6.3/66 class rolls,"Maintain authoritative roster evidence for enrollment, access, completion, and grade reconciliation.","ASU-RRS-6.3-66; FERPA-99.10","Corrections must be versioned or auditable; legal holds and outstanding access requests pause disposition.",Registrar + LMS Owner,"Confirm EdNotebook roster is record copy or governed convenience copy."
unlinkedPortalInterestSubmissions,ednotebook,unlinked_form,false,candidate_ready,delete,30,"Final response, withdrawal, or thirty days of abandonment",Transitory inquiry,"Respond to prospective-user interest without creating an indefinite shadow profile for a person who never establishes an account.","ASU-RRS-1.1-057; FERPA-DATA-DESTRUCTION","Collect minimum contact data, provide notice, suppress marketing without retaining the full submission, and route actual applications to their governed domain.",Privacy + Platform Operations,"Confirm consent language and suppression-list design."
uploadQuotaReservations,ednotebook,linked_record,true,candidate_ready,delete,1,"Reservation expiry, consumption, or cancellation",Transitory operational record,"Remove temporary quota locks and associated user metadata promptly after the upload decision.","ASU-RRS-1.1-057; FERPA-DATA-DESTRUCTION","A successful upload's governed file record replaces the reservation; failures retain only sanitized troubleshooting evidence.",Storage Owner + Security,"Verify scheduled cleanup and abandoned multipart-upload handling."
userAuthoredProfessorPublisherContent,ednotebook,user_authored_shared,true,blocked_pending_review,block,,"No automatic trigger until contract, ownership, publication, and archival status are captured",Mixed publication / course record / intellectual property,"Protect professor and publisher works from deletion that violates ownership, licensing, sale, student-access, or archival obligations.","ASU-RRS-6.3-67; ASU-RRP; STRIPE-DPA","Withdrawal from sale does not necessarily delete purchased entitlements or institutional course copies. Interactive books can also contain student education records.",Library/Publishing + Legal + Records,"Approve author agreement, rights/version policy, archival rule, and purchased-access survival."
userEntitlements,ednotebook,linked_record,true,blocked_pending_review,block,,"No automatic trigger until academic and commercial entitlement types are separated",Mixed class membership / financial entitlement,"Prevent free assigned-course access records and paid purchase/rental rights from receiving an unsafe shared retention rule.","ASU-RRS-6.3-66; ASU-RRS-4.1-4.4; STRIPE-DPA","Academic entitlements follow enrollment/roster rules; paid entitlements follow financial and contract rules; current perpetual rights cannot expire by retention job.",Registrar + Finance + Library/Publishing,"Split academic, free-public, purchase, rental, refund, and perpetual entitlement types."
userFeaturePolicies,ednotebook,linked_record,true,candidate_ready,retain,730,"Policy superseded or account/institution access terminated",ASU 5.4/012 security access,"Retain authorization-policy history long enough to explain access decisions and investigate misuse.","ASU-RRS-5.4-012; FERPA-99.32","Current policy stays active; secrets are excluded; security incidents and disclosure records inherit longer applicable series.",Security + Institution Technology,"Confirm version history and linkage to access-decision audit events."
