"domain_key","candidate_status","candidate_disposition","candidate_retention_days","candidate_trigger","candidate_record_series","candidate_accountable_owner","candidate_dependency","calendar_semantics_review_required","official_copy_role","privacy_classification","reviewer_decision","approved_disposition","approved_retention_days","approved_trigger","approved_authority_reference","conditions_and_exceptions","reviewer_unit_role","decision_date","review_due_at"
"ltiGradeSyncEvents","candidate_ready","retain","1460","End of semester after successful reconciliation and resolution of grade disputes","ASU 6.6/347 grade books","Registrar + LMS Owner","Confirm whether any event is the original grade sheet, which would require permanent retention.","true","","","","","","","","","","",""
"ltiLaunchSessions","candidate_ready","delete","30","Launch session expiry, revocation, or nonce replay window closure","Transitory security session","Security + LMS Owner","Verify launch-state cleanup, nonce TTL, and log sanitization.","false","","","","","","","","","","",""
"ltiProviderCopies","blocked_pending_review","block","","Platform-owned deletion/archive event with verified result","Provider/institution copy","LMS Owner + Privacy/Records","Inventory each LTI tool, DPA, retention rule, export path, and deletion confirmation.","false","","","","","","","","","","",""
"ltiUserMappings","candidate_ready","delete","730","Mapping superseded or LTI/account access terminated","ASU 5.4/012 security access","LMS Owner + Security","Confirm upstream and downstream mapping deletion procedures.","true","","","","","","","","","","",""
"processingJobs","candidate_ready","delete","30","Terminal job completion, cancellation, or permanent failure","Transitory operational record","Institution Technology + Security","Verify dead-letter, retry, and worker logs obey the same boundary.","false","","","","","","","","","","",""
"profile","blocked_pending_review","block","","No automatic trigger until student-status-specific and record-copy rules exist","ASU account schedule / student record series","Registrar + Institution Technology + Privacy","Design status-aware deprovisioning and field-level anonymization; validate every foreign-key effect.","false","","","","","","","","","","",""
"providerBackups","candidate_ready","retain","7","Provider backup creation; expiry is rolling","Supabase Pro daily backups","Institution Technology + Records","Verify project plan/configuration quarterly and document that Storage backups are separate.","false","","","","","","","","","","",""
"publicationEntitlements","candidate_ready","retain","1095","Close of the fiscal year containing entitlement expiry, refund, or final transaction","ASU financial records FE+3","Finance/Tax + Library/Publishing","Confirm fiscal-year trigger and separation of free academic versus commercial entitlements.","true","","","","","","","","","","",""
"readingAnnotations","candidate_ready","delete","365","Later of academic-term end, user export window, dispute resolution, or legal-hold release","ASU 6.6/375 student course work","Records/Registrar + Privacy","Confirm annotation export notice and whether professor-visible annotations become assessed coursework.","true","","","","","","","","","","",""
"secureFiles","blocked_pending_review","block","","No automatic trigger until every file has a governed record class","Content-defined","Records + Security + Storage Owner","Add mandatory record-class metadata and deny unclassified production uploads.","false","","","","","","","","","","",""
"storageDeliveryCaches","candidate_ready","delete","1","Origin object deletion or replacement","Supabase Smart CDN derivative","Security + Storage Owner","Verify private-object cache headers, signed-URL behavior, and deletion evidence.","false","","","","","","","","","","",""
"storageObjectVersions","blocked_pending_review","block","","No automatic trigger until version inherits the source record class","Content-defined storage version","Storage Owner + Records","Bind every version to source record class, trigger, legal hold, and verified byte deletion.","false","","","","","","","","","","",""
"stripeWebhookPayloads","candidate_ready","delete","30","Successful signature verification, idempotent processing, and reconciliation","Stripe event operational copy","Finance/Payments + Security","Confirm no tax, dispute, or accounting evidence exists only inside the webhook payload.","false","","","","","","","","","","",""
"studentDataSubjectRequestItems","candidate_ready","retain","3650","Final disposition of the parent subject request","ASU 1.2/010 disposition logs","Privacy/Records","Confirm the item log contains required ASU disposition fields and links contested-record statements for the life of the record.","true","","","","","","","","","","",""
"studentDataSubjectRequests","candidate_ready","retain","3650","Final disposition of the request","ASU 1.2/010 disposition logs","Privacy/Records","Confirm workflow timing, identity verification, and disposition-log fields.","true","","","","","","","","","","",""
"studentEducationPath","candidate_ready","retain","1825","Graduation or date of last attendance","ASU 6.6/311 academic progress","Registrar + Records","Confirm which fields are advising records versus permanent academic records.","true","","","","","","","","","","",""
"studentEnrollmentRequests","candidate_ready","retain","1825","Final enrollment decision or graduation/date of last attendance, whichever is later","ASU 6.6/315 add/drop records","Registrar + LMS Owner","Confirm trigger and handling of never-enrolled applicants.","true","","","","","","","","","","",""
"studentGrades","blocked_pending_review","block","","No automatic trigger until EdNotebook's grade record role is designated","ASU 6.6/347 versus 6.6/350","Registrar + Records","Obtain written record-copy designation and grade-export/round-trip evidence.","false","","","","","","","","","","",""
"studentGroupMemberships","candidate_ready","retain","1825","End of academic year or graduation/date of last attendance, whichever the mapped course series requires","ASU class roll / academic progress","Registrar + Records","Classify academic versus optional social group memberships.","true","","","","","","","","","","",""
"studentGroups","candidate_ready","delete","730","End of semester in which the group was used","ASU 6.3/67 course records","Registrar + Records","Confirm groups are course structures and not official student-organization archives.","true","","","","","","","","","","",""
"studentLearningRecords","blocked_pending_review","block","","No automatic trigger until learning-record subtypes are separated","Mixed permanent academic / progress / coursework","Registrar + Records","Split permanent outcomes, five-year progress, one-year coursework, and de-identified research measures.","false","","","","","","","","","","",""
"studentPosts","candidate_ready","delete","365","Later of academic-term end, moderation/grievance closure, or legal-hold release","ASU 6.6/375 student course work","Records/Registrar + Privacy","Confirm platform social posts can be distinguished from assessed course discussions.","true","","","","","","","","","","",""
"studentPublicProfile","blocked_pending_review","block","","No automatic trigger until directory-information and account-status rules are represented","FERPA directory / ASU account schedule","Privacy + Registrar + Institution Technology","Implement directory opt-out, status-aware deletion, and field-level anonymization.","false","","","","","","","","","","",""
"studentRosterEntries","candidate_ready","retain","1825","End of academic year in which roster data is posted to transcripts","ASU 6.3/66 class rolls","Registrar + LMS Owner","Confirm EdNotebook roster is record copy or governed convenience copy.","true","","","","","","","","","","",""
"unlinkedPortalInterestSubmissions","candidate_ready","delete","30","Final response, withdrawal, or thirty days of abandonment","Transitory inquiry","Privacy + Platform Operations","Confirm consent language and suppression-list design.","false","","","","","","","","","","",""
"uploadQuotaReservations","candidate_ready","delete","1","Reservation expiry, consumption, or cancellation","Transitory operational record","Storage Owner + Security","Verify scheduled cleanup and abandoned multipart-upload handling.","false","","","","","","","","","","",""
"userAuthoredProfessorPublisherContent","blocked_pending_review","block","","No automatic trigger until contract, ownership, publication, and archival status are captured","Mixed publication / course record / intellectual property","Library/Publishing + Legal + Records","Approve author agreement, rights/version policy, archival rule, and purchased-access survival.","false","","","","","","","","","","",""
"userEntitlements","blocked_pending_review","block","","No automatic trigger until academic and commercial entitlement types are separated","Mixed class membership / financial entitlement","Registrar + Finance + Library/Publishing","Split academic, free-public, purchase, rental, refund, and perpetual entitlement types.","false","","","","","","","","","","",""
"userFeaturePolicies","candidate_ready","retain","730","Policy superseded or account/institution access terminated","ASU 5.4/012 security access","Security + Institution Technology","Confirm version history and linkage to access-decision audit events.","true","","","","","","","","","","",""
